season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,3,4,Quarterfinals,5,May 11 @12:00 PM,97562,Parkway North,161,4,2,False,Ritenour,182,5,3,True,1,Pattonville,165,False
2012-2013,2012,3,5,Final,1,May 17 @6:00 PM,97617,Ft. Zumwalt South,65,,3,True,Francis Howell Central,72,,2,False,1,Ft. Zumwalt South,65,False
2012-2013,2012,3,5,Semifinals,2,May 15 @5:00 PM,97617,Ft. Zumwalt South,65,1,1,True,Ft. Zumwalt North,63,,0,False,1,Ft. Zumwalt South,65,False
2012-2013,2012,3,5,Semifinals,3,May 15 @7:00 PM,97617,Francis Howell North,75,2,0,False,Francis Howell Central,72,3,1,True,1,Ft. Zumwalt South,65,False
2012-2013,2012,3,5,Quarterfinals,5,May 13 @6:00 PM,97617,Francis Howell,71,4,0,False,Ft. Zumwalt North,63,5,2,True,2,Ft. Zumwalt South,65,False
2012-2013,2012,3,6,Final,1,May 16 @5:00 PM,97648,Timberland,472,,0,False,Ft. Zumwalt West,69,,1,True,1,Ft. Zumwalt West,69,False
2012-2013,2012,3,6,Semifinals,2,May 14 @4:00 PM,97648,Timberland,472,1,1,True,Troy Buchanan,476,,0,False,1,Ft. Zumwalt West,69,False
2012-2013,2012,3,6,Semifinals,3,May 14 @6:00 PM,97648,Washington,491,2,1,False,Ft. Zumwalt West,69,3,2,True,1,Ft. Zumwalt West,69,False
2012-2013,2012,3,6,Quarterfinals,5,May 13 @4:00 PM,97648,Troy Buchanan,476,4,2,True,Holt,320,5,1,False,1,Ft. Zumwalt West,69,False
2012-2013,2012,3,7,Final,1,May 17 @6:00 PM,97319,Cor Jesu Academy,515,,0,False,Oakville,150,,1,True,1,Oakville,150,False
2012-2013,2012,3,7,Semifinals,2,May 15 @7:00 PM,97319,Cor Jesu Academy,515,1,4,True,Fox,70,,0,False,4,Oakville,150,False
2012-2013,2012,3,7,Semifinals,3,May 15 @5:00 PM,97319,Lindbergh,124,2,0,False,Oakville,150,3,1,True,1,Oakville,150,False
2012-2013,2012,3,7,Quarterfinals,5,May 13 @5:00 PM,97319,Mehlville,122,4,1,False,Fox,70,5,4,True,3,Oakville,150,False
