filename,status,output,bg_fraction,slug
Logan-Rogersville Logo.jpg,processed,matched/logan-rogersville.png,0.315,logan-rogersville
Lone Jack Logo.jpg,processed,matched/lone-jack.png,0.554,lone-jack
Louisiana Logo.jpg,processed,matched/louisiana.png,0.441,louisiana
Lutheran Kansas City Logo.jpg,processed,matched/lutheran-kansas-city.png,0.829,lutheran-kansas-city
Lutheran North Logo.jpg,processed,matched/lutheran-north.png,0.632,lutheran-north
Lutheran South Logo.jpg,processed,matched/lutheran-south.png,0.576,lutheran-south
Lutheran St Charles Logo.jpg,processed,matched/lutheran-st-charles.png,0.399,lutheran-st-charles
Lutie Logo.jpg,processed,matched/lutie.png,0.513,lutie
MICDS Logo.jpg,processed,matched/micds.png,0.5,micds
Macks Creek Logo.jpg,processed,matched/macks-creek.png,0.675,macks-creek
Macon County Logo.jpg,processed,matched/macon-county.png,0.489,macon-county
Macon Logo.jpg,processed,matched/macon.png,0.46,macon
Madison Logo.jpg,processed,matched/madison.png,0.561,madison
Malden Logo.jpg,processed,matched/malden.png,0.257,malden
Mansfield Logo.jpg,processed,matched/mansfield.png,0.286,mansfield
Maplewood-Richmond Hts Logo.jpg,processed,matched/maplewood-richmond-hts.png,0.35,maplewood-richmond-hts
Marceline Logo.jpg,processed,matched/marceline.png,0.613,marceline
Marion C Early Logo.jpg,bg_removal_uncertain,,0.0,marion-c-early
Marion County Logo.jpg,processed,matched/marion-county.png,0.634,marion-county
Marionville Logo.jpg,processed,matched/marionville.png,0.396,marionville
Mark Twain Logo.jpg,processed,matched/mark-twain.png,0.049,mark-twain
Marquand-Zion Logo.jpg,processed,matched/marquand-zion.png,0.409,marquand-zion
Marquette Logo.jpg,processed,matched/marquette.png,0.135,marquette
Marshall Logo.jpg,processed,matched/marshall.png,0.408,marshall
Marshfield Logo.jpg,processed,matched/marshfield.png,0.614,marshfield
Maryville Logo.jpg,processed,matched/maryville.png,0.643,maryville
Maysville Logo.jpg,processed,matched/maysville.png,0.051,maysville
McAuley Catholic Logo.jpg,processed,matched/mcauley-catholic.png,0.384,mcauley-catholic
McCluer Logo.jpg,processed,matched/mccluer.png,0.324,mccluer
McCluer North Logo.jpg,processed,matched/mccluer-north.png,0.781,mccluer-north
McDonald County Logo.jpg,processed,matched/mcdonald-county.png,0.459,mcdonald-county
McKinley Classical Leadership Logo.jpg,processed,matched/mckinley-classical-leadership.png,0.301,mckinley-classical-leadership
Meadow Heights Logo.jpg,processed,matched/meadow-heights.png,0.489,meadow-heights
Meadville Logo.jpg,processed,matched/meadville.png,0.317,meadville
Mehlville Logo.jpg,processed,matched/mehlville.png,0.485,mehlville
Mercer Logo.jpg,processed,matched/mercer.png,0.707,mercer
Metro Logo.jpg,processed,matched/metro.png,0.592,metro
Mexico Logo.jpg,processed,matched/mexico.png,0.287,mexico
Miami Aromet Logo.jpg,processed,matched/miami-amoret.png,0.689,miami-amoret
Mid-Buchanan Logo.jpg,processed,matched/mid-buchanan.png,0.52,mid-buchanan
Midway Logo.jpg,processed,matched/midway.png,0.623,midway
Milan Logo.jpg,processed,matched/milan.png,0.315,milan
Miller Career Aacademy Logo.jpg,processed,matched/miller-career-academy.png,0.768,miller-career-academy
Miller Logo.jpg,processed,matched/miller.png,0.701,miller
Missouri Military Academy Logo.jpg,processed,matched/missouri-military-academy.png,0.213,missouri-military-academy
Moberly Logo.jpg,processed,matched/moberly.png,0.755,moberly
Monett Logo.jpg,processed,matched/monett.png,0.397,monett
Monroe City Logo.jpg,processed,matched/monroe-city.png,0.554,monroe-city
Montgomery County Logo.jpg,processed,matched/montgomery-county.png,0.671,montgomery-county
Montrose Logo.jpg,bg_removal_uncertain,,0.008,montrose
Mound City Logo.jpg,processed,matched/mound-city.png,0.367,mound-city
Mountain Grove Logo.jpg,processed,matched/mountain-grove.png,0.6,mountain-grove
Mt Vernon Logo.jpg,processed,matched/mt-vernon.png,0.211,mt-vernon
Naylor Logo.jpg,processed,matched/naylor.png,0.447,naylor
Neelyville Logo.jpg,processed,matched/neelyville.png,0.609,neelyville
Neosho Logo.jpg,processed,matched/neosho.png,0.516,neosho
Nerinx Hall Logo.jpg,processed,matched/nerinx-hall.png,0.481,nerinx-hall
Nevada Logo.jpg,processed,matched/nevada.png,0.662,nevada
New Bloomfield Logo.jpg,processed,matched/new-bloomfield.png,0.713,new-bloomfield
New Covenant Academy Logo.jpg,processed,matched/new-covenant-academy.png,0.457,new-covenant-academy
New Franklin Logo.jpg,processed,matched/new-franklin.png,0.297,new-franklin
New Haven Logo.jpg,processed,matched/new-haven.png,0.56,new-haven
New Heights Christian Logo.jpg,processed,matched/new-heights-christian.png,0.295,new-heights-christian
Newburg Logo.jpg,processed,matched/newburg.png,0.634,newburg
Niangua Logo.jpg,processed,matched/niangua.png,0.508,niangua
Nixa Logo.jpg,processed,matched/nixa.png,0.766,nixa
Norborne Logo.jpg,processed,matched/norborne.png,0.343,norborne
Normandy Collaborative Logo.jpg,processed,matched/normandy-collaborative.png,0.29,normandy-collaborative
North Andrew Logo.jpg,processed,matched/north-andrew.png,0.522,north-andrew
North Callaway Logo.jpg,processed,matched/north-callaway.png,0.507,north-callaway
North Harrison Logo.jpg,processed,matched/north-harrison.png,0.191,north-harrison
North Kansas City Logo.jpg,processed,matched/north-kansas-city.png,0.575,north-kansas-city
North Nodaway Logo.jpg,processed,matched/north-nodaway.png,0.585,north-nodaway
North Pemiscot Logo.jpg,processed,matched/north-pemiscot.png,0.58,north-pemiscot
North Platte Logo.jpg,processed,matched/north-platte.png,0.442,north-platte
North Point Logo.jpg,processed,matched/north-point.png,0.473,north-point
North Shelby Logo.jpg,processed,matched/north-shelby.png,0.682,north-shelby
Northeast Cairo Logo.jpg,processed,matched/northeast-cairo.png,0.646,northeast-cairo
Northeast Kansas City Logo.jpg,processed,matched/northeast-kansas-city.png,0.523,northeast-kansas-city
Northeast Nodaway Logo.jpg,processed,matched/northeast-nodaway.png,0.656,northeast-nodaway
Northeast Vernon County Logo.jpg,processed,matched/northeast-vernon-county.png,0.438,northeast-vernon-county
Northland Christian Logo.jpg,processed,matched/northland-christian.png,0.406,northland-christian
Northwest Cedar Hill Logo.jpg,processed,matched/northwest-cedar-hill.png,0.544,northwest-cedar-hill
Northwest Hughesville Logo.jpg,processed,matched/northwest-hughesville.png,0.053,northwest-hughesville
Northwestern Mendon Logo.jpg,processed,matched/northwestern-mendon.png,0.717,northwestern-mendon
Norwood Logo.jpg,processed,matched/norwood.png,0.51,norwood
Notre Dame Cape Girardeau Logo.jpg,processed,matched/notre-dame-cape-girardeau.png,0.414,notre-dame-cape-girardeau
Notre Dame St Louis Logo.jpg,processed,matched/notre-dame-st-louis.png,0.134,notre-dame-st-louis
Notre Dame de Sion Logo.jpg,processed,matched/notre-dame-de-sion.png,0.697,notre-dame-de-sion
Novinger Logo.jpg,processed,matched/novinger.png,0.455,novinger
Oak Grove Logo.jpg,processed,matched/oak-grove.png,0.505,oak-grove
Oak Park Logo.jpg,processed,matched/oak-park.png,0.568,oak-park
Oak Ridge Logo.jpg,processed,matched/oak-ridge.png,0.676,oak-ridge
Oakville Logo.jpg,processed,matched/oakville.png,0.496,oakville
Odessa Logo.jpg,processed,matched/odessa.png,0.209,odessa
Oran Logo.jpg,processed,matched/oran.png,0.405,oran
Orchard Farm Logo.jpg,bg_removal_uncertain,,0.005,orchard-farm
Orrick Logo.jpg,processed,matched/orrick.png,0.559,orrick
Osage Logo.jpg,processed,matched/osage.png,0.444,osage
Osborn Logo.jpg,processed,matched/osborn.png,0.659,osborn
Osceola Logo.jpg,processed,matched/osceola.png,0.542,osceola
Otterville Logo.jpg,processed,matched/otterville.png,0.421,otterville
Owensville Logo.jpg,processed,matched/owensville.png,0.509,owensville
